,date,deaths,date_clean,adjusted_approve,adjusted_disapprove,approve,disapprove,Day,Rolling Approval
120,2020-05-20,93411,2020-05-20,42.12061866666667,54.61170116666667,42.583333333333336,55.0,2020-05-20,42.583333333333336
121,2020-05-21,94722,2020-05-21,42.4436707,52.98817699999999,43.5,51.8,2020-05-21,43.5
122,2020-05-22,96010,2020-05-22,47.06538333333333,50.26607933333333,47.0,49.0,2020-05-22,47.0
123,2020-05-23,97060,2020-05-23,42.35687816666667,55.03356683333334,42.333333333333336,55.666666666666664,2020-05-23,42.333333333333336
124,2020-05-24,97680,2020-05-24,40.84094371428571,54.084059857142854,42.42857142857143,53.0,2020-05-24,42.42857142857143
125,2020-05-25,98190,2020-05-25,42.84725540000001,53.593328799999995,43.8,53.3,2020-05-25,43.8
126,2020-05-26,98937,2020-05-26,41.96057973333333,54.65081346666666,43.11333333333334,54.28666666666667,2020-05-26,43.11333333333334
127,2020-05-27,100422,2020-05-27,42.572311600000006,53.496851500000005,43.4,53.3,2020-05-27,43.4
128,2020-05-28,101622,2020-05-28,43.86401600000001,52.80326175,44.875,52.5,2020-05-28,44.875
129,2020-05-29,102812,2020-05-29,43.0946506,53.51147579999999,43.4,52.4,2020-05-29,43.4
130,2020-05-30,103775,2020-05-30,43.559545875000005,54.055673625,43.6375,54.625,2020-05-30,43.6375
131,2020-05-31,104379,2020-05-31,42.767879888888885,54.019751888888884,43.888888888888886,53.22222222222222,2020-05-31,43.888888888888886
132,2020-06-01,105113,2020-06-01,41.11499333333333,55.32340738888889,41.833333333333336,54.80555555555556,2020-06-01,41.833333333333336
133,2020-06-02,106195,2020-06-02,41.77559399999999,54.74115222727273,42.35909090909091,54.72727272727273,2020-06-02,42.35909090909091
134,2020-06-03,107184,2020-06-03,41.08338746153846,53.82714992307692,41.599999999999994,52.784615384615385,2020-06-03,41.599999999999994
135,2020-06-04,108192,2020-06-04,41.268212454545456,54.92842509090909,42.72727272727273,54.90909090909091,2020-06-04,42.72727272727273
136,2020-06-05,109304,2020-06-05,39.93121360000001,55.744856600000006,40.1,55.2,2020-06-05,40.1
137,2020-06-06,110032,2020-06-06,39.409545875000006,58.080673624999996,39.4875,58.65,2020-06-06,39.4875
138,2020-06-07,110422,2020-06-07,40.092474928571434,56.384182571428575,41.17142857142857,55.642857142857146,2020-06-07,41.17142857142857
139,2020-06-08,111144,2020-06-08,41.08461357142858,55.03625485714286,42.142857142857146,54.857142857142854,2020-06-08,42.142857142857146
140,2020-06-09,112174,2020-06-09,40.798185437499995,55.629366874999995,41.2,55.36875,2020-06-09,41.2
141,2020-06-10,113103,2020-06-10,41.123292,54.913176,42.888888888888886,54.0,2020-06-10,42.888888888888886
142,2020-06-11,113980,2020-06-11,41.27818609090909,54.88923936363636,42.36363636363637,54.27272727272727,2020-06-11,42.36363636363637
143,2020-06-12,114758,2020-06-12,40.169189,56.029610375,40.625,55.125,2020-06-12,40.625
144,2020-06-13,115451,2020-06-13,41.2852723076923,55.78338838461539,41.4076923076923,55.89999999999999,2020-06-13,41.4076923076923
145,2020-06-14,115768,2020-06-14,39.589667999999996,56.851329666666665,40.46666666666667,56.733333333333334,2020-06-14,40.46666666666667
146,2020-06-15,116216,2020-06-15,41.459047636363636,55.66278509090909,41.45454545454545,56.63636363636363,2020-06-15,41.45454545454545
147,2020-06-16,116985,2020-06-16,41.81886136363636,54.902141681818165,42.85909090909092,55.05,2020-06-16,42.85909090909092
